Image: 9lady_cube_steve.png | Classification: Lady
Image: 9lady_cube_steve.png | Classification: Cube
Image: 9lady_cube_steve.png | Classification: Steve
Image: 4tree_cube.png | Classification: Tree
Image: 4tree_cube.png | Classification: Cube
Image: 2steve_lady.png | Classification: Steve
Image: 2steve_lady.png | Classification: Lady
Image: 10lady_cube_steve.png | Classification: Lady
Image: 10lady_cube_steve.png | Classification: Cube
Image: 10lady_cube_steve.png | Classification: Steve
Image: 7lady_tree.png | Classification: Cube
Image: 7lady_tree.png | Classification: Tree
Image: 1cube_lady.png | Classification: Cube
Image: 1cube_lady.png | Classification: Lady
Image: 5lady_tree.png | Classification: Lady
Image: 5lady_tree.png | Classification: Tree
Image: 6tree_steve.png | Classification: Tree
Image: 6tree_steve.png | Classification: Steve
Image: 8steve_cube_tree.png | Classification: Steve
Image: 8steve_cube_tree.png | Classification: Cube
Image: 8steve_cube_tree.png | Classification: Tree
Image: 3lady_steve.png | Classification: Lady
Image: 3lady_steve.png | Classification: Steve
